ID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,1,2017-11-17 17:01:29,2017-11-17 17:01:35,1,0,6,N,138,138,2,4.5,0,0.5,0,0,0.3,5.3
,1,2017-10-27 05:11:07,2017-10-27 05:11:10,1,7.5,6,N,36,36,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-23 11:39:35,2017-05-23 11:39:35,1,0,6,N,246,264,2,0,0,0,0,0,0,0
,2,2017-05-02 10:32:15,2017-05-02 10:32:22,1,0,6,N,193,193,2,45,0,0,0,0,0,45
,1,2017-05-09 04:48:35,2017-05-09 04:48:40,1,0,6,N,207,207,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-16 14:00:25,2017-05-16 14:00:32,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-17 23:49:44,2017-05-17 23:49:52,1,0,6,N,265,265,1,2.5,0,0.5,40,0,0.3,43.3
,1,2017-11-23 10:45:32,2017-11-23 10:45:37,1,0,6,N,10,10,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-30 20:31:55,2017-11-30 20:34:07,1,0.1,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-10-14 03:27:00,2017-10-14 03:27:00,2,0,6,Y,265,264,2,0,0,0,0,0,0,0
,1,2017-10-04 18:59:06,2017-10-04 18:59:09,1,0,6,N,125,125,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-10-27 17:37:28,2017-10-27 17:37:32,1,0,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-01 23:13:28,2017-06-01 23:13:28,1,0,6,N,215,264,2,1.01,0,0.5,0,0,0.3,1.81
,1,2017-06-01 14:09:23,2017-06-01 14:09:25,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-03 13:53:39,2017-06-03 13:53:41,1,0,6,N,146,146,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-24 05:30:51,2017-06-24 05:30:57,1,0,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-08 02:09:40,2017-06-08 02:12:45,1,0.7,6,N,225,17,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-30 23:39:16,2017-06-30 23:39:30,1,0,6,N,87,88,1,2.5,0,0.5,20,0,0.3,23.3
,1,2017-06-28 13:58:08,2017-06-28 14:02:30,1,0.2,6,N,93,93,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-29 23:04:24,2017-06-29 23:07:40,1,0.5,6,N,231,211,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-12 12:30:28,2017-08-12 12:31:38,1,0,6,N,141,141,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-08-19 15:30:56,2017-08-19 15:31:02,1,0,6,N,264,7,1,5.5,0,0.5,1.26,0,0.3,7.56
,1,2017-08-27 23:11:09,2017-08-27 23:16:23,1,2.5,6,N,132,216,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-13 13:43:40,2017-08-13 13:43:47,1,0,6,N,230,230,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-11 02:03:09,2017-08-11 02:03:55,1,0.1,6,N,148,148,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-08 10:59:49,2017-11-08 10:59:54,1,0,6,N,68,68,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-11-22 14:45:27,2017-11-22 14:45:43,1,0,6,N,142,142,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-11-18 19:52:41,2017-11-18 19:52:46,1,0,6,N,246,246,1,2.5,0,0.5,0.66,0,0.3,3.96
,2,2017-06-21 23:55:45,2017-06-21 23:55:50,1,0,6,N,264,263,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-06-20 05:25:07,2017-06-20 05:26:58,1,0.4,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-04 13:21:15,2017-06-04 13:21:20,1,0.1,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-30 12:38:11,2017-06-30 12:38:11,1,0,6,N,186,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-30 15:16:41,2017-06-30 15:16:52,1,0,6,N,170,170,2,2.5,0,0.5,0,0,0.3,3.3
